Year,Catch,Effort,CPUE
1970,1138,5818,0.196
1971,1183,6057,0.195
1972,1380,7380,0.187
1973,1672,7362,0.227
1974,666,3439,0.194
1975,973,6010,0.162
1976,1118,6660,0.168
1977,2900,11673,0.248
1978,3599,18749,0.192
1979,4218,17791,0.237
1980,5124,30594,0.167
1981,5559,31895,0.174
1982,4891,32956,0.148
1983,5751,34551,0.166
1984,4525,32447,0.139
1985,3592,26516,0.135
1986,2682,26669,0.101
1987,3617,22478,0.161
1988,3458,26264,0.132
1989,3173,27036,0.117
1990,3550,25525,0.139
1991,3987,20744,0.192
1992,3084,21789,0.142
1993,2515,16019,0.157
1994,3162,18592,0.17
1995,4125,16834,0.245
1996,2311,16635,0.139
1997,2694,15385,0.175
1998,3218,18003,0.179
1999,2136,12675,0.169
2000,2190,12736,0.172
2001,1983,10440,0.19
2002,1943,8718,0.223
2003,2222,8503,0.261
2004,1767,7793,0.227
2005,1744,7967,0.219
2006,1802,6983,0.258
2007,1192,4829,0.247
2008,1021,4556,0.224
2009,1250,4889,0.256
2010,1628,4898,0.332
2011,749,4143,0.181
